"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","41","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","97","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","510","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","27","1","0.000000","0","0"
"/Game/ParticleEffect/MM_ParticleStar.MM_ParticleStar","24","6","6","1","25.563938","0","0"
"/Game/Materials/Characters/MM_Characters.MM_Characters","24","0","40","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
"/Game/Materials/Environment/TrimSheets/MM_WallTrim.MM_WallTrim","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Glass.M_Glass","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/MM_BasicMatteWhite.MM_BasicMatteWhite","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/TileAbleDesignerMaterials/MM_WoodFloor.MM_WoodFloor","24","0","41","1","0.000000","0","0"
"/Game/Materials/Environment/MM_MasterBasic.MM_MasterBasic","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_HeightNoMet.MM_HeightNoMet","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_Master_nometallic.MM_Master_nometallic","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_ALL.MM_ALL","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_noNorm.MM_noNorm","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_RoughandBase.MM_RoughandBase","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_YellowGlass.MM_YellowGlass","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/TileAbleDesignerMaterials/MM_RoofColour.MM_RoofColour","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/TileAbleDesignerMaterials/MM_MatteWallColour.MM_MatteWallColour","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/MM_Phone.MM_Phone","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/MM_OpacityMap.MM_OpacityMap","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/MM_EmissiveOpacity.MM_EmissiveOpacity","24","0","27","1","0.000000","0","0"
"/Game/Materials/Environment/MM_AllOpacity.MM_AllOpacity","24","0","20","1","0.000000","0","0"
"/Game/Materials/Environment/Andrzej/Bedroom/M_Cup.M_Cup","24","0","20","1","0.000000","0","0"
"/Game/Materials/Models/M_Placeholder_02.M_Placeholder_02","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Basic_Floor.M_Basic_Floor","24","0","35","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Game/Materials/Environment/Restaurant/MM_Master_Restaurant.MM_Master_Restaurant","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/Gym/MM_Master_Gym.MM_Master_Gym","24","0","35","1","0.000000","0","0"
"/Game/Materials/Shaders/M_PostIntObjects.M_PostIntObjects","24","0","4","1","0.000000","0","0"
"/Game/Materials/Shaders/M_ToonShaderMultiplatform.M_ToonShaderMultiplatform","24","0","4","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","0","35","1","0.000000","0","0"
"/Game/Materials/Environment/Gym/MM_Master_Gym_Emissive.MM_Master_Gym_Emissive","24","0","35","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","24","0","55","1","0.000000","0","0"
"/Game/Materials/UI/M_Navigate.M_Navigate","24","35","35","1","41.298138","0","0"
"/Game/Materials/lambert1.lambert1","24","0","20","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","24","0","35","1","0.000000","0","0"
"/Game/Materials/Characters/andrzej_fullbody_gym_texture.andrzej_fullbody_gym_texture","24","0","20","1","0.000000","0","0"
"/Game/Models/Andrzej_Apartment/Bathroom/initialShadingGroup.initialShadingGroup","24","0","20","1","0.000000","0","0"
"/Game/Materials/Models/M_Placeholder_01.M_Placeholder_01","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Textures/T_Wood_Walnut_Mat.T_Wood_Walnut_Mat","24","0","20","1","0.000000","0","0"
"/Game/MobileStarterContent/Textures/T_Wood_Oak_Mat.T_Wood_Oak_Mat","24","0","20","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Pine.M_Wood_Pine","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Oak.M_Wood_Oak","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Ocean.M_Water_Ocean","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Lake.M_Water_Lake","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Panel.M_Tech_Panel","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Slate.M_Rock_Slate","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Steel.M_Metal_Steel","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Rust.M_Metal_Rust","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Copper.M_Metal_Copper","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Moss.M_Ground_Moss","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Grass.M_Ground_Grass","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","24","0","35","1","0.000000","0","0"
"/Game/MobileStarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","24","0","35","1","0.000000","0","0"
"/Game/Materials/UI/M_RoundCorners.M_RoundCorners","24","0","9","1","0.000000","0","0"
"/Game/Materials/Sky/MM_Sky.MM_Sky","24","0","2","1","0.000000","0","0"
"/Game/Materials/Models/M_Placeholder_05.M_Placeholder_05","24","0","20","1","0.000000","0","0"
"/Game/Materials/Models/M_Placeholder_04.M_Placeholder_04","24","0","35","1","0.000000","0","0"
"/Game/Materials/Models/M_Placeholder_03.M_Placeholder_03","24","0","20","1","0.000000","0","0"
